,Artist,Total Followers
0,Silver,10459
1,Gilbert Bécaud,92044
2,Stan Forebee,10260
3,Chaka Khan,898439
4,Counting Crows,1046748
5,Roxy Music,514573
6,Alan Walker,20573969
7,Florence + The Machine,5081751
8,Rod Wave,562053
9,3JS,29126
10,John Denver,954146
11,Suzan & Freek,93949
12,Ram Jam,74638
13,#Sleep,122
14,Drake,46095758
15,Lil Baby,3866583
16,Peter Frampton,626508
17,George Ezra,3048227
18,Dr. Hook,250203
19,Bruno Mars,24787727
20,Jimi Hendrix,4051586
21,Karin Bloemen,4571
22,The Goo Goo Dolls,1577428
23,Steve Harley,16306
24,Yann Tiersen,756242
25,Electric Light Orchestra,2126248
26,Coolio,355046
27,Gregory Porter,373982
28,Mark Knopfler,758550
29,Janis Joplin,2078232
30,The Weather Girls,72505
31,Akwasi,4852
32,Lee Towers,7384
33,Frank Boeijen Groep,30868
34,Grimes,1042889
35,Alanis Morissette,1565947
36,Harry Styles,6941399
37,Tavares,150407
38,Liquido,25102
39,Alice Cooper,1942302
40,Klein Orkest,22846
41,Eels,299260
42,Ede Staal,4635
43,Dijon,79656
44,Santa Esmeralda,21000
45,Kid Rock,1214331
46,Justnormal,1740
47,Gé Reinders,1369
48,George Harrison,1473396
49,Franz Ferdinand,1751494
50,De Staat,57573
51,Freddie Mercury,3318176
52,Ramones,1682551
53,Novastar,21338
54,Derek & The Dominos,361053
55,Bette Midler,354287
56,Al Stewart,136592
57,Birdy,2991730
58,Tori Amos,453975
59,Youngbloodz,303966
60,Nirvana,10553202
61,Paul Simon,1288502
62,Anouk,257606
63,Megan Thee Stallion,1040469
64,Dexys Midnight Runners,130073
65,Skunk Anansie,215401
66,Taylor Swift,28582594
67,Steve Miller Band,1518686
68,Arctic Monkeys,9111344
69,Unaverage Gang,20045
70,Melanie Martinez,6423115
71,Bryan Adams,1578072
72,Barry Ryan,7345
73,Linkin Park,15167571
74,The Human League,598413
75,The War On Drugs,577339
76,Xavier Rudd,431283
77,Michael Bublé,3813069
78,10cc,366742
79,Golden Earring,121305
80,Simply Red,1208077
81,Spider Murphy Gang,45901
82,Mecano,835272
83,Diggy Dex,40245
84,Steff,2013
85,OutKast,1321902
86,Amy Winehouse,6295909
87,Elvis Costello,319567
88,Ariana Grande,44903402
89,Herbert Grönemeyer,377440
90,Deep Purple,3080343
91,Stone Temple Pilots,2018751
92,Alan Walker,20573969
93,The B-52's,518615
94,Cuby & The Blizzards,11020
95,Matthias Reim,150300
96,Fools Garden,69661
97,Eminem,34387107
98,U.S.A. For Africa,13016
99,Sam Cooke,983454
100,Iggy Pop,933366
101,Martin Garrix,13029012
102,Ronan Keating,538190
103,Armin van Buuren,3384425
104,Alderliefste,2449
105,Ali Gatie,873288
106,Tim Hardin,23814
107,Loreena McKennitt,275217
108,Portishead,1131113
109,Alphaville,380079
110,Fugees,737098
111,Jakey,82801
112,Cock Robin,45491
113,Drukwerk,20569
114,Q'65,2913
115,Janis Ian,74944
116,Simple Minds,1018227
117,James Brown & The Famous Flames,88762
118,TOTO,1432403
119,Lou Reed,1098363
120,The Police,3437850
121,Annie Lennox,785732
122,Spinvis,40280
123,Muse,5689252
124,Calum Scott,2313742
125,Marianne Rosenberg,50693
126,Guns N' Roses,16378108
127,Caro Emerald,246729
128,Roddy Ricch,2409711
129,Michael Jackson,14376181
130,Robert Plant,606737
131,Stromae,1534165
132,Mannenkoor Karrespoor,2524
133,Oasis,5096595
134,Fleetwood Mac,4500220
135,Beastie Boys,1576582
136,Paul Kalkbrenner,787783
137,Soundgarden,2431424
138,Tom Waits,886858
139,Stealers Wheel,76205
140,Sam Smith,12436426
141,Joe Jackson,206591
142,Mr. Probz,289845
143,Tm88,36109
144,LP,1591133
145,Alderliefste,2449
146,Bob Marley & The Wailers,8027857
147,Bachman-Turner Overdrive,488859
148,Skillet,2935825
149,The Magnetic Fields,144093
150,Panic! At The Disco,9232845
151,Pearl Jam,5643866
152,JAY-Z,5213300
153,Michael Kiwanuka,771225
154,Helene Fischer,876845
155,Midnight Oil,454849
156,Tom Petty,1214336
157,Hilltop Hoods,534952
158,Eva Cassidy,265902
159,Alice Cooper,1942302
160,grandson,482389
161,REO Speedwagon,1191044
162,Slava M,1
163,Maaike Ouboter,33309
164,Leonard Cohen,1842459
165,Bruno Mars,24787727
166,MGMT,1755196
167,Kenzie Smith Piano,20618
168,Zucchero,421397
169,Kane Brown,2425525
170,Kris Kross Amsterdam,117386
171,Ultravox,284398
172,Nickelback,4271415
173,Beatcrooks,6678
174,Camila Cabello,15993670
175,Eddie Vedder,1058709
176,Original Cast of Starship,6632
177,Vangelis,325477
178,Blue Öyster Cult,849707
179,Cheap Trick,758986
180,Arcade Fire,1710848
181,The Chainsmokers,15874711
182,The Verve,1336274
183,Eros Ramazzotti,1153132
184,Video Games Live,92045
185,J Balvin,19265313
186,Jamiroquai,1490415
187,Don McLean,458165
188,Rowwen Hèze,36448
189,Queensrÿche,362908
190,Maarten Van Roozendaal,4666
191,Tom Petty and the Heartbreakers,1359056
192,Billy Joel,2567407
193,Rich The Kid,2084979
194,Michel Fugain & Le Big Bazar,13948
195,Joni Mitchell,753125
196,The Moody Blues,641788
197,Rob De Nijs,48572
198,AC/DC,14859633
199,Douwe Bob,58241
200,Orchestral Manoeuvres In The Dark,408428
201,Jeff Buckley,635268
202,Patrick Bruel,290820
203,Philip Bailey,26698
204,Kasher Quon,5889
205,Culture Club,804996
206,Daniël Lohues,15540
207,Jacques Brel,356273
208,White $osa,5830
209,Neil Young,1782871
210,Lange Frans & Baas B,7704
211,Nick Cave & The Bad Seeds,827311
212,Stevie Wonder,4186078
213,BTS,18055529
214,Soulja Boy,1012305
215,Lauren Daigle,1234097
216,The Babys,53707
217,Crash Test Dummies,165082
218,Blaudzun,36653
219,Post Malone,24543702
220,Alonzo,1194614
221,Danny Vera,74122
222,Joe Bonamassa,556100
223,Khalid,11212775
224,The Trammps,125090
225,Jackson Browne,665528
226,Juice WRLD,9150673
227,Billie Eilish,25002725
228,Sex Pistols,1057251
229,Clouseau,102272
230,Les Poppys,6006
231,Young the Giant,1141908
232,Bush,1043806
233,Aretha Franklin,2207060
234,Neil Diamond,1093967
235,System Of A Down,5989571
236,Solomon Burke,148207
237,David Guetta,21021445
238,Robert Miles,101213
239,The Temper Trap,564165
240,"Earth, Wind & Fire",2308093
241,Ava Max,1485429
242,Rammstein,4158323
243,"Crosby, Stills, Nash & Young",851096
244,Bruce Hornsby,195088
245,Twarres,12451
246,Nazareth,671260
247,James Blunt,2155342
248,Dynoro,183794
249,Metallica,13717924
250,Stevie Ray Vaughan,1508193
251,Mink DeVille,21277
252,Scorpions,3301000
253,Dr. Dre,4864496
254,Depeche Mode,2974076
255,3 Doors Down,2651583
256,Jan Smit,115688
257,Adele,20908216
258,Delerium,55273
259,Lionel Richie,1641797
260,P!nk,8430909
261,Cashan,602
